Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DublinCoreAbstract,string,0,n,"A summary of the content of the resource.",,,,,,,,,,,,,
DublinCoreAccessRights,string,0,n,"Information about who can access the resource or its content.",,,,,,,,,,,,,
DublinCoreAccrualMethod,string,0,n,"The method by which items are added to a collection.",,,,,,,,,,,,,
DublinCoreAccrualPeriodicity,string,0,n,"The frequency at which items are added to a collection.",,,,,,,,,,,,,
DublinCoreAccrualPolicy,string,0,n,"The policy governing the addition of items to a collection.",,,,,,,,,,,,,
DublinCoreAlternative,string,0,n,"An alternative name for the resource.",,,,,,,,,,,,,
DublinCoreAudience,string,0,n,"A group of users for whom the resource is intended.",,,,,,,,,,,,,
DublinCoreAvailable,string,0,n,"The date the resource became or will become available.",,,,,,,,,,,,,
DublinCoreBibliographicCitation,string,0,n,"A bibliographic reference for the resource.",,,,,,,,,,,,,
DublinCoreConformsTo,string,0,n,"A reference to a standard to which the resource conforms.",,,,,,,,,,,,,
DublinCoreContributor,string,0,n,"An entity responsible for making contributions to the resource.",,,,,,,,,,,,,
DublinCoreCoverage,string,0,n,"The spatial or temporal topic of the resource.",,,,,,,,,,,,,
DublinCoreCreated,string,0,n,"The date the resource was created.",,,,,,,,,,,,,
DublinCoreCreator,string,0,n,"An entity primarily responsible for making the resource.",,,,,,,,,,,,,
DublinCoreDate,string,0,n,"A point or period of time associated with the resource.",,,,,,,,,,,,,
DublinCoreDateAccepted,string,0,n,"The date the resource was accepted.",,,,,,,,,,,,,
DublinCoreDateCopyrighted,string,0,n,"The date the resource was copyrighted.",,,,,,,,,,,,,
DublinCoreDateSubmitted,string,0,n,"The date the resource was submitted.",,,,,,,,,,,,,
DublinCoreDescription,string,0,n,"An account of the resource.",,,,,,,,,,,,,
DublinCoreEducationLevel,string,0,n,"The level of education audience the resource is intended for.",,,,,,,,,,,,,
DublinCoreExtent,string,0,n,"The size or duration of the resource.",,,,,,,,,,,,,
DublinCoreFormat,string,0,n,"The file format, physical medium, or dimensions of the resource.",,,,,,,,,,,,,
DublinCoreHasFormat,string,0,n,"A related resource that is a format of the resource.",,,,,,,,,,,,,
DublinCoreHasPart,string,0,n,"A related resource that is a part of the resource.",,,,,,,,,,,,,
DublinCoreHasVersion,string,0,n,"A related resource that is a version, edition, or adaptation of the resource.",,,,,,,,,,,,,
DublinCoreIdentifier,string,0,n,"An unambiguous reference to the resource.",,,,,,,,,,,,,
DublinCoreInstructionalMethod,string,0,n,"The method of learning provided by the resource.",,,,,,,,,,,,,
DublinCoreIsFormatOf,string,0,n,"A related resource that is a format of the resource.",,,,,,,,,,,,,
DublinCoreIsPartOf,string,0,n,"A related resource in which the described resource is a part.",,,,,,,,,,,,,
DublinCoreIsReferencedBy,string,0,n,"A related resource that references the resource.",,,,,,,,,,,,,
DublinCoreIsReplacedBy,string,0,n,"A related resource that supplants or displaces the resource.",,,,,,,,,,,,,
DublinCoreIsRequiredBy,string,0,n,"A related resource that requires the resource.",,,,,,,,,,,,,
DublinCoreIsVersionOf,string,0,n,"A related resource that is a version, edition, or adaptation of the resource.",,,,,,,,,,,,,
DublinCoreIssued,string,0,n,"The date the resource was issued.",,,,,,,,,,,,,
DublinCoreLanguage,string,0,n,"The language of the resource.",,,,,,,,,,,,,
DublinCoreLicense,string,0,n,"Information about rights held in and over the resource.",,,,,,,,,,,,,
DublinCoreMediator,string,0,n,"An entity that mediates access to the resource.",,,,,,,,,,,,,
DublinCoreMedium,string,0,n,"The material or physical carrier of the resource.",,,,,,,,,,,,,
DublinCoreModified,string,0,n,"The date the resource was last modified.",,,,,,,,,,,,,
DublinCoreProvenance,string,0,n,"A statement of any changes in ownership and custody of the resource.",,,,,,,,,,,,,
DublinCorePublisher,string,0,n,"An entity responsible for making the resource available.",,,,,,,,,,,,,
DublinCoreReferences,string,0,n,"A related resource that is referenced by the resource.",,,,,,,,,,,,,
DublinCoreRelation,string,0,n,"A related resource.",,,,,,,,,,,,,
DublinCoreReplaces,string,0,n,"A related resource that is supplanted or displaced by the resource.",,,,,,,,,,,,,
DublinCoreRequires,string,0,n,"A related resource that is required by the resource.",,,,,,,,,,,,,
DublinCoreRights,string,0,n,"Information about rights held in and over the resource.",,,,,,,,,,,,,
DublinCoreRightsHolder,string,0,n,"A person or organization owning or managing rights over the resource.",,,,,,,,,,,,,
DublinCoreSource,string,0,n,"A related resource from which the present resource is derived.",,,,,,,,,,,,,
DublinCoreSpatial,string,0,n,"The spatial characteristics of the resource.",,,,,,,,,,,,,
DublinCoreSubject,string,0,n,"The topic of the resource.",,,,,,,,,,,,,
DublinCoreTableOfContents,string,0,n,"A list of subunits of the resource.",,,,,,,,,,,,,
DublinCoreTemporal,string,0,n,"The temporal characteristics of the resource.",,,,,,,,,,,,,
DublinCoreTitle,string,0,n,"The name given to the resource.",,,,,,,,,,,,,
DublinCoreType,string,0,n,"The nature or genre of the resource.",,,,,,,,,,,,,
DublinCoreValid,string,0,n,"The date the resource will be or was valid.",,,,,,,,,,,,,
