Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Name,string,0,1,A name for the breading,,,,,,,,,,,,,
LingualDescription,MultilingualString,0,n,A description of the breading,,,,,,,,,,,,,
CountryOfOrigin,string,0,1,The country the animal was from,,,,,,,,,,,,,
Date,date,0,1,The date animal is obtained,,,,,,,,,,,,,
Duration,duration,0,1,The duration of animal,,,,,,,,,,,,,
Time,time,0,1,Time testing,,,,,,,,,,,,,
DateTime,dateTime,0,1,Date Animal was born,,,,,,,,,,,,,
GMonthDay,gMonthDay,0,1,Month and day,,,,,,,,,,,,,
GMonth,gMonth,0,1,Month,,,,,,,,,,,,,
GDay,gDay,0,1,Day,,,,,,,,,,,,,
CDate,cogsDate,0,1,the date in a variety of formats,,,,,,,,,,,,,
Times,time,0,n,a list of times,,,,,,,,,,,,,
MeatPieces,Part,0,n,Pieces of meat in the animal,,true,,,,,,,,,,,
Durations,duration,0,n,List of times,,,,,,,,,,,,,
Dates,date,0,n,A series of dates,,,,,,,,,,,,,
DateTimes,dateTime,0,n,A series of dateTimes,,,,,,,,,,,,,
GMonthDays,gMonthDay,0,n,A series of gMonthDays,,,,,,,,,,,,,
GDays,gDay,0,n,A series of gDays,,,,,,,,,,,,,
GMonths,gMonth,0,n,A series of gMonths,,,,,,,,,,,,,
