Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
BooleanValue,boolean,0,1,Boolean.,,,,,,,,,,,,,
DecimalValue,decimal,0,1,Exact decimal.,,,,,,,,,,,,,
FloatValue,float,0,1,Finite XSD float.,,,,,,,,,,,,,
DoubleValue,double,0,1,Finite XSD double.,,,,,,,,,,,,,
DateTimeValue,dateTime,0,1,XSD dateTime.,,,,,,,,,,,,,
TimeValue,time,0,1,XSD time.,,,,,,,,,,,,,
DateValue,date,0,1,XSD date.,,,,,,,,,,,,,
GYearMonthValue,gYearMonth,0,1,XSD gYearMonth.,,,,,,,,,,,,,
GYearValue,gYear,0,1,XSD gYear.,,,,,,,,,,,,,
GMonthDayValue,gMonthDay,0,1,XSD gMonthDay.,,,,,,,,,,,,,
GDayValue,gDay,0,1,XSD gDay.,,,,,,,,,,,,,
GMonthValue,gMonth,0,1,XSD gMonth.,,,,,,,,,,,,,
NonPositiveIntegerValue,nonPositiveInteger,0,1,Arbitrary precision nonpositive integer.,,,,,,,,,,,,,
NegativeIntegerValue,negativeInteger,0,1,Arbitrary precision negative integer.,,,,,,,,,,,,,
LongValue,long,0,1,XSD signed long.,,,,,,,,,,,,,
IntValue,int,0,1,XSD signed int.,,,,,,,,,,,,,
NonNegativeIntegerValue,nonNegativeInteger,0,1,Arbitrary precision nonnegative integer.,,,,,,,,,,,,,
UnsignedLongValue,unsignedLong,0,1,XSD unsigned long.,,,,,,,,,,,,,
PositiveIntegerValue,positiveInteger,0,1,Arbitrary precision positive integer.,,,,,,,,,,,,,
HugeFiniteCollection,string,0,999999999999999999999999999,A finite cardinality beyond machine integer ranges.,true,,,,,,,,,,,,
