Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Title,string,1,1,Required constrained title.,,,1,100,,[A-Za-z0-9 ._-]+,,,,,,,
Status,string,0,1,Enumeration with lexical strings.,,,,,draft final,,,,,,,,
Count,nonNegativeInteger,0,1,Arbitrary precision nonnegative count.,,,,,,,0,,999999999999999999,,,,
Ratio,decimal,0,1,Exact decimal value.,,,,,,,-999.125,,999.125,,,,
Created,dateTime,0,1,Full XSD dateTime lexical value.,,,,,,,,,,,,,
Elapsed,duration,0,1,Full XSD duration including year and month components.,,,,,,,,,,,,,
ElapsedHistory,duration,0,n,Ordered fractional signed and year-month durations.,true,,,,,,,,,,,,
LanguageTag,language,0,1,BCP 47 language tag.,,,,,,,,,,,,,
Link,anyURI,0,1,Relative or absolute URI reference.,,,,,,,,,,,,,
Label,langString,0,n,Localized labels.,true,,,,,,,,,,,,
When,cogsDate,0,1,Exactly one COGS date arm.,,,,,,,,,,,,,
Details,Details,0,1,All remaining primitive domains.,,,,,,,,,,,,,
Choice,BaseValue,0,1,Property-local reusable subtype.,,true,,,,,,,,,,,
Parts,RecursiveNode,0,n,Ordered recursive composite values.,true,,,,,,,,,,,,
Related,Entity,0,n,Assignable item references enabled explicitly for an abstract item type.,,true,,,,,,,,,,,
ExactRelated,Record,0,1,Exact concrete Record reference.,,,,,,,,,,,,,
AssignableRelated,Record,0,1,Record reference that permits concrete descendants.,,true,,,,,,,,,,,
DcTerms,dcTerms,0,1,,,,,,,,,,,,,,
